0	2036	p-a	1
2036	0	a-p	1
0	2336	p-a	1
2336	0	a-p	1
0	5450	p-a	1
5450	0	a-p	1
1	2795	p-a	1
2795	1	a-p	1
1	1581	p-a	1
1581	1	a-p	1
1	3725	p-a	1
3725	1	a-p	1
1	3705	p-a	1
3705	1	a-p	1
2	2295	p-a	1
2295	2	a-p	1
2	4838	p-a	1
4838	2	a-p	1
2	3799	p-a	1
3799	2	a-p	1
3	1896	p-a	1
1896	3	a-p	1
3	5510	p-a	1
5510	3	a-p	1
4	1270	p-a	1
1270	4	a-p	1
4	5412	p-a	1
5412	4	a-p	1
5	2795	p-a	1
2795	5	a-p	1
5	1855	p-a	1
1855	5	a-p	1
5	3725	p-a	1
3725	5	a-p	1
5	4345	p-a	1
4345	5	a-p	1
6	5121	p-a	1
5121	6	a-p	1
6	4166	p-a	1
4166	6	a-p	1
6	166	p-a	1
166	6	a-p	1
7	4960	p-a	1
4960	7	a-p	1
7	4145	p-a	1
4145	7	a-p	1
8	2561	p-a	1
2561	8	a-p	1
8	2336	p-a	1
2336	8	a-p	1
8	2768	p-a	1
2768	8	a-p	1
9	5530	p-a	1
5530	9	a-p	1
9	5573	p-a	1
5573	9	a-p	1
9	2565	p-a	1
2565	9	a-p	1
9	5512	p-a	1
5512	9	a-p	1
10	5545	p-a	1
5545	10	a-p	1
10	1905	p-a	1
1905	10	a-p	1
10	3959	p-a	1
3959	10	a-p	1
11	4751	p-a	1
4751	11	a-p	1
11	5155	p-a	1
5155	11	a-p	1
11	2851	p-a	1
2851	11	a-p	1
11	247	p-a	1
247	11	a-p	1
11	5554	p-a	1
5554	11	a-p	1
11	5514	p-a	1
5514	11	a-p	1
12	5544	p-a	1
5544	12	a-p	1
12	6684	p-a	1
6684	12	a-p	1
12	5171	p-a	1
5171	12	a-p	1
13	5574	p-a	1
5574	13	a-p	1
13	4330	p-a	1
4330	13	a-p	1
14	5519	p-a	1
5519	14	a-p	1
14	1923	p-a	1
1923	14	a-p	1
15	5541	p-a	1
5541	15	a-p	1
15	5540	p-a	1
5540	15	a-p	1
15	5277	p-a	1
5277	15	a-p	1
16	1582	p-a	1
1582	16	a-p	1
17	1757	p-a	1
1757	17	a-p	1
17	1056	p-a	1
1056	17	a-p	1
17	6782	p-a	1
6782	17	a-p	1
17	932	p-a	1
932	17	a-p	1
17	1759	p-a	1
1759	17	a-p	1
18	969	p-a	1
969	18	a-p	1
18	865	p-a	1
865	18	a-p	1
18	1672	p-a	1
1672	18	a-p	1
19	5345	p-a	1
5345	19	a-p	1
19	1413	p-a	1
1413	19	a-p	1
19	2066	p-a	1
2066	19	a-p	1
20	2188	p-a	1
2188	20	a-p	1
20	2336	p-a	1
2336	20	a-p	1
20	1952	p-a	1
1952	20	a-p	1
21	571	p-a	1
571	21	a-p	1
21	4149	p-a	1
4149	21	a-p	1
22	5721	p-a	1
5721	22	a-p	1
22	1015	p-a	1
1015	22	a-p	1
22	6303	p-a	1
6303	22	a-p	1
23	5438	p-a	1
5438	23	a-p	1
23	4970	p-a	1
4970	23	a-p	1
24	3312	p-a	1
3312	24	a-p	1
24	803	p-a	1
803	24	a-p	1
25	5481	p-a	1
5481	25	a-p	1
25	259	p-a	1
259	25	a-p	1
25	5325	p-a	1
5325	25	a-p	1
25	2498	p-a	1
2498	25	a-p	1
25	5196	p-a	1
5196	25	a-p	1
25	5491	p-a	1
5491	25	a-p	1
25	5305	p-a	1
5305	25	a-p	1
25	4094	p-a	1
4094	25	a-p	1
26	3312	p-a	1
3312	26	a-p	1
26	1318	p-a	1
1318	26	a-p	1
27	2080	p-a	1
2080	27	a-p	1
27	6717	p-a	1
6717	27	a-p	1
27	5499	p-a	1
5499	27	a-p	1
28	4944	p-a	1
4944	28	a-p	1
28	3548	p-a	1
3548	28	a-p	1
28	2273	p-a	1
2273	28	a-p	1
28	4775	p-a	1
4775	28	a-p	1
29	2537	p-a	1
2537	29	a-p	1
29	5813	p-a	1
5813	29	a-p	1
29	4531	p-a	1
4531	29	a-p	1
30	2896	p-a	1
